doi,year,title,source_id,source_title,retracted,area,category,intext_citation.section,intext_citation.pointer,intext_citation.intent,intext_citation.sentiment,intext_citation.section.ret_mention
10.3109/17549507.2011.528801,2010,"Science-based practice and the speech-language pathologist

",issn:1754-9507; issn:1754-9515,International Journal Of Speech-Language Pathology,no,"Arts and Humanities;;
Health Professions;;
Medicine;;
Nursing;;","Language and Linguistics;;
Speech and Hearing;;
Otorhinolaryngology;;
LPN and LVN;
Research and Theory;;",middle section; “Science and pseudoscience “;;,"Wakefield, Murch, Anthony, Linnell, Casson, Malik, et al., 1998",cites as evidence;;,negative;;,no;;
10.1080/15205436.2016.1148172,2016,"Silent Majority: Childhood Vaccinations and Antecedents to Communicative Action

",issn:1520-5436; issn:1532-7825,Mass Communication And Society,no,Social Sciences;;,Communication;;,"Introduction;;
","Wakefield, Murch, & Anthony, 1998",qualifies;;,negative;;,no;;
10.1177/1533210109333771,2009,"Chiropractors and Vaccinations: Ethics is the Real Issue



",issn: 2515-690X,Journal of Evidence-Based Integrative Medicine,no,Medicine,Complementary and Alternative Medicine,middle section;“THE VACCINE SAFETY MOVEMENT IN THE UNITED STATES ”;;,"Wakefield, Murch, & Anthony, 1998",cites for information;;,neutral;;,no;;
10.1080/08870446.2014.892940,2014,That’s just what’s expected of you … so you do it’: Mothers discussions around choice and the MMR vaccination,issn:0887-0446; issn:1476-8321,Psychology & Health,no,"Medicine;;
Psychology;;
","Public Health, Environmental and Occupational Health;;
Applied Psychology;;","“Mothers, responsibility and immunisation”;First Section;;","Wakefield, Murch, & Anthony, 1998",discusses;;,neutral;;,no;;
10.1080/15228932.2011.588526,2012,Peer-Reviewed Forensic Consultation: Safeguarding Expert Testimony and Protecting the Uninformed Court,issn:1522-8932; issn:1522-9092,Journal Of Forensic Psychology Practice,no,"Medicine;;
Psychology;;","Pathology and Forensic Medicine;;
Applied Psychology;;","“DIFFERENT APPROACHES TO PEER-REVIEW AND PEER-REVIEWED FORENSIC CONSULTATION”;Middle Section;;

“DIFFERENT APPROACHES TO PEER-REVIEW AND PEER-REVIEWED FORENSIC CONSULTATION”;Middle Section","Wakefield, Murch, & Anthony, 1998","discusses;;
discusses;;","negative;;
negative;;",yes;;
10.1080/00028533.2012.11821775,2012,"Maternal Expertise, Vaccination Recommendations, and the Complexity of Argument Spheres ",issn:1051-1431; issn:2576-8476,Argumentation And Advocacy,no,,,“ExPERT MoMS AND nm ANTI-vAcCINE MoVEMENT ”;Middle Section;;,"Wakefield, 1998",cites as evidence;;,negative;;,yes;;
10.1080/10810730.2011.585693,2012,Communicating Immunization Science: The Genesis and Evolution of the National Network for Immunization Information,issn:1081-0730; issn:1087-0415,Journal Of Health Communication,no,"Medicine;;
Social Sciences;;","Public Health, Environmental and Occupational Health;;
Communication;
Health (social science);
Library and Information Sciences;;","Introduction;;
","Wakefield, 1998",discusses;;,neutral;;,no;;
10.1111/psj.12076,2014,Cultural Worldview and Preference for Childhood Vaccination Policy,issn:0190-292X,Policy Studies Journal,no,"Environmental Science;;
Social Sciences;;","Management, Monitoring, Policy and Law;;
Public Administration;
Sociology and Political Science;;",“Notes”;Final section;;,"Wakefield et al., 1998",disputes;;,neutral;;,no;;
10.1002/9781118753378.ch44,2015,Autism Spectrum Disorder,isbn:9781118753378; isbn:9781118845479,Psychiatry,no,Medicine,Internal medicine,“Etiology and Pathophysiology ”;Middle Section;;,"Wakefield et al., 1998",qualifies;;,neutral;;,yes;;
10.1177/1362361398024007,1998,"MMR and Autism



",issn:1362-3613; issn:1461-7005,Autism,no,Psychology,Developmental and Educational Psychology,none;;,"Wakefield et al., 1998",qualifies;;,neutral;;,no;;
10.1007/978-3-662-49504-9_23,2016,Risk communication on the Internet,isbn:9783662495032; isbn:9783662495049,Ehealth In Deutschland,no,Medicine,Medicine (miscellaneous),“Challenges of Risk Communication on the Internet”; Final section;;,"Wakefield et al., 1998",discusses;;,negative;;,no;;
10.3389/fenvs.2015.00036,2015,"Effects of alternative framing on the publics perceived importance of environmental conservation
",issn:2296-665X,Frontiers In Environmental Science,no,Environmental Science;;,Environmental Science (miscellaneous);;,"Introduction;;
","Wakefield et al., 1998",critiques;;,negative;;,no;;
10.1177/146900470200600205,2002,"Maternal Responses to the Diagnosis of Learning Disabilities in Children: A Qualitative Study using a Focus Group Approach



",issn:1469-0047,Journal Of Learning Disabilities,no,"Health Professions;;
Social Sciences;;","Health Professions (miscellaneous);;
Education;
Health (social science);;","introduction;;
introduction;;
discussion;;","Wakefield et al., 1998","describes;;
discusses;;
qualifies;;","neutral;;
neutral;;
negative;;",no;;
10.1080/10810730.2015.1018605,2015,Source Credibility and the Biasing Effect of Narrative Information on the Perception of Vaccination Risks,issn:1081-0730; issn:1087-0415,Journal Of Health Communication,no,"Medicine;;
Social Sciences;;","Public Health, Environmental and Occupational Health;;
Communication;
Health (social science);
Library and Information Sciences;;","Introduction;;
","Wakefield et al., 1998",qualifies;;,negative;;,no;;
10.1177/0963662506067662,2008,"Parental views on pediatric vaccination: the impact of competing advocacy coalitions



",issn:0963-6625; issn:1361-6609,Public Understanding Of Science,no,"Arts and Humanities;;
Psychology;;
Social Sciences;;","Arts and Humanities (miscellaneous);;
Developmental and Educational Psychology;;
Communication;;",introduction;;,"Wakefield et al., 1998",credits;;,neutral;;,no;;
10.1097/nmc.0000000000000337,2017,Global Immunizations: Health Promotion and Disease Prevention Worldwide,issn:0361-929X,"Mcn, The American Journal Of Maternal/Child Nursing",no,Nursing,"Maternity and Midwifery;
Pharmacology (nursing);;",“Trust and Perception of Safety”;Middle Section;;,"Wakefield et al., 1998",critiques;;,negative;;,yes;;
10.1177/1359104502007004004,2002,Commentary on ‘The New Autism’: One Family’s Perspective,issn:1359-1045; issn:1461-7021,Clinical Child Psychology And Psychiatry,no,"Medicine;;
Psychology;;","Medicine (miscellaneous);
Pediatrics, Perinatology and Child Health;
Psychiatry and Mental Health;;
Clinical Psychology;;","middle section;“A gut connection ”;;
middle section;“A gut connection ”;;
middle section;“The problem in the kitchen: Autism and opioid excess ”;;
Middle section;”Aetiology”;; ","Wakefield et al., 1998","uses conclusions from;;
describes;;
Uses data from;;
uses conclusions from;;","positive;;
neutral;;
positive;;
neutral;;",no;;
10.1111/j.1477-9730.2004.00037.x,2004,Editorial,issn:0031-868X; issn:1477-9730,The Photogrammetric Record,no,"Computer Science;;
Earth and Planetary Sciences;;
Engineering;;","Computer Science Applications;;
Computers in Earth Sciences;
Earth and Planetary Sciences (miscellaneous);;
Engineering (miscellaneous);;",None,"Wakefield et al., 1998",discusses;;,negative;;,yes;;
