doc,1,2,3,4,5,6,7,8,9,10,11,12,13
"text/352_(area= business, management and accounting;;economics, econometrics and finance)_(period= 2011-2017).txt",0.5623944401741028,0.013472560793161392,0.2894067168235779,0.013472500257194042,0.013472503051161766,0.013472603633999823,0.01347261294722557,0.01347311120480299,0.013472509570419788,0.013472759164869784,0.013472599908709526,0.013472518883645536,0.013472599908709526
"text/477_(area= biochemistry, genetics and molecular biology;;environmental science;;medicine)_(period= 2011-2017).txt",0.010516894049942492,0.01051687728613615,0.5255876183509827,0.010516881942749023,0.010516807436943054,0.01051783561706543,0.3587247729301453,0.010516948066651821,0.010517766699194908,0.010516809299588205,0.010517137125134468,0.010516817681491377,0.010516855865716934
text/362_(area= medicine)_(period= 2011-2017).txt,0.010698904283344746,0.010701938532292845,0.23565979301929474,0.010698885656893252,0.010699455626308918,0.01070087682455778,0.010699565522372723,0.6466431617736816,0.010699796490371227,0.010698600672185421,0.010699241422116756,0.010701047256588936,0.010698718018829824
text/259_(area= engineering;;social sciences)_(period= 2005-2010).txt,0.011441846378147602,0.011441904120147228,0.5674400329589844,0.011441820301115513,0.01144479587674141,0.011442534625530243,0.01144196093082428,0.01144178956747055,0.3066929578781128,0.011442607268691065,0.011441865935921669,0.011443926021456718,0.01144199725240469
text/36_(area= medicine)_(period= 1998-2004).txt,0.01278444193303585,0.012784944847226143,0.388226717710495,0.012784628197550774,0.012785523198544979,0.012784861028194427,0.012787653133273123,0.012784693390130995,0.012784674763679504,0.01278445590287447,0.01278547290712595,0.35096803307533264,0.13295389711856842
text/253_(area= medicine)_(period= 2005-2010).txt,0.014485975727438928,0.014485995285212994,0.3591817021369934,0.014486193656921387,0.01448600273579359,0.4814717173576355,0.014485998079180716,0.014486036263406275,0.014486045576632025,0.014486022293567656,0.014486288651823997,0.014485984109342097,0.01448606699705124
text/540_(area= arts and humanities;;social sciences)_(period= 2011-2017).txt,0.009724863804876804,0.009724758565425871,0.5201089978218079,0.3729170560836792,0.009724730625748634,0.009725126437842846,0.00972494389861822,0.009724711999297142,0.009724936448037623,0.009724857285618782,0.009724932722747326,0.009725256823003292,0.009724804200232029
text/518_(area= computer science;;decision sciences;;social sciences)_(period= 2011-2017).txt,0.01256883516907692,0.27153509855270386,0.33975476026535034,0.01256689615547657,0.012567341327667236,0.2630054354667664,0.012571286410093307,0.012568974867463112,0.012570925056934357,0.012567458674311638,0.012571712024509909,0.01257564127445221,0.012575645931065084
text/473_(area= medicine)_(period= 2011-2017).txt,0.009260687977075577,0.009260780178010464,0.6429628133773804,0.009261067025363444,0.009260773658752441,0.18914440274238584,0.009260669350624084,0.009261115454137324,0.009260734543204308,0.009260851889848707,0.07528453320264816,0.00926067680120468,0.009260873310267924
text/108_(area= medicine)_(period= 1998-2004).txt,0.009735959582030771,0.0097359549254179,0.8831683993339539,0.009735952131450176,0.009735966101288795,0.009735968895256521,0.009735951200127602,0.009735953994095324,0.009735963307321072,0.009735962375998495,0.009735981002449991,0.009735995903611185,0.009736008010804651
text/605_(area= computer science;;decision sciences;;social sciences)_(period= 2011-2017).txt,0.011385589838027954,0.011386368423700331,0.4784589409828186,0.011385696008801459,0.011385725811123848,0.011386145837605,0.011392408050596714,0.011386758647859095,0.01138610765337944,0.39628031849861145,0.011387231759727,0.011385745368897915,0.011393012478947641
text/566_(area= health professions;;medicine)_(period= 2011-2017).txt,0.011788121424615385,0.011785881593823431,0.3389803767204285,0.011786573566496372,0.011792905628681185,0.011788076721131802,0.3845355212688446,0.011786023154854773,0.011786963790655136,0.011786293238401413,0.15860959887504578,0.011787500232458116,0.011786118149757384
