topics,score
1.0,-1.5565218960925518
2.0,-1.5605987799337468
3.0,-1.8735449091771537
4.0,-2.5383016980084108
5.0,-1.8588744986303976
6.0,-1.7184936252087002
7.0,-1.8343318770208017
8.0,-2.2353456849637428
9.0,-2.832203773326233
10.0,-2.28855240813485
11.0,-2.5983924859507117
12.0,-2.810150030289188
13.0,-4.880441059055881
14.0,-3.5725821471659533
15.0,-4.0028212817781474
16.0,-4.891705153151276
17.0,-4.360767209025202
18.0,-4.305099830665884
19.0,-4.764833503546622
20.0,-4.360425827095631
21.0,-4.288956669791507
22.0,-5.67208109626198
23.0,-4.9948567178234
24.0,-8.06942612545555
25.0,-8.018406945780747
26.0,-8.716520589337273
27.0,-8.182770214821742
28.0,-7.285767281140969
29.0,-8.191247947518086
30.0,-7.463828673869778
31.0,-10.257601098482533
32.0,-7.376740732619398
33.0,-7.510792420642298
34.0,-9.282400679674351
35.0,-10.290503873580796
36.0,-8.969834016488594
37.0,-7.6685203365556305
38.0,-11.076240513711145
39.0,-10.425372524591786
40.0,-10.971172194393251
