doc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"text/41_(cit= 0)_(area= immunology and microbiology;;medicine;;pharmacology, toxicology and pharmaceutics)_(period= 1998-2004).txt",0.0065828380174934855,0.0065828380174934855,0.0065828380174934855,0.0065828380174934855,0.0065828380174934855,0.0065828380174934855,0.0065828380174934855,0.10701772570610046,0.0065828380174934855,0.6269779801368713,0.0065828380174934855,0.14093033969402313,0.0065828380174934855,0.0065828380174934855,0.0065828380174934855,0.006582838483154775,0.0065828380174934855,0.0065828380174934855,0.0065828380174934855,0.0065828380174934855,0.0065828380174934855,0.0065828380174934855
"text/313_(cit= 0)_(area= medicine;;pharmacology, toxicology and pharmaceutics)_(period= 2011-2017).txt",0.007065492682158947,0.007065492682158947,0.007065492682158947,0.007065492682158947,0.007065492682158947,0.007065492682158947,0.007065492682158947,0.007065492682158947,0.007065492682158947,0.007065492682158947,0.007065492682158947,0.8516246676445007,0.007065492682158947,0.007065492682158947,0.007065492682158947,0.007065492682158947,0.007065492682158947,0.007065492682158947,0.007065492682158947,0.007065492682158947,0.007065492682158947,0.007065492682158947
"text/14_(cit= 0)_(area= health professions;;medicine;;pharmacology, toxicology and pharmaceutics)_(period= 1998-2004).txt",0.006723474711179732,0.006723474711179732,0.5742633938789368,0.006723474711179732,0.006723474711179732,0.006723474711179732,0.006723474711179732,0.2912670969963074,0.006723474711179732,0.006723474711179732,0.006723474711179732,0.006723474711179732,0.006723474711179732,0.006723474711179732,0.006723474711179732,0.006723474711179732,0.006723474711179732,0.006723474711179732,0.006723474711179732,0.006723474711179732,0.006723474711179732,0.006723474711179732
text/350_(cit= 0)_(area= medicine)_(period= 2011-2017).txt,0.007004720624536276,0.007004720624536276,0.007004720624536276,0.007004720624536276,0.007004720624536276,0.007004720624536276,0.007004720624536276,0.007004720624536276,0.007004720624536276,0.007004720624536276,0.007004720624536276,0.007004720624536276,0.007004720624536276,0.8529008626937866,0.007004720624536276,0.007004720624536276,0.007004720624536276,0.007004720624536276,0.007004720624536276,0.007004720624536276,0.007004720624536276,0.007004720624536276
text/8_(cit= 5)_(area= medicine)_(period= 1998-2004).txt,0.007583754602819681,0.007583754602819681,0.007583754602819681,0.007583754602819681,0.007583754602819681,0.007583754602819681,0.007583754602819681,0.007583754602819681,0.007583754602819681,0.007583754602819681,0.007583754602819681,0.007583754602819681,0.007583754602819681,0.007583754602819681,0.007583762053400278,0.0075837550684809685,0.007583754602819681,0.8407411575317383,0.007583754602819681,0.007583754602819681,0.007583754602819681,0.007583754602819681
"text/250_(cit= 0)_(area= biochemistry, genetics and molecular biology;;immunology and microbiology;;pharmacology, toxicology and pharmaceutics)_(period= 2005-2010).txt",0.0071889483369886875,0.0071889483369886875,0.0071889483369886875,0.0071889483369886875,0.0071889483369886875,0.0071889483369886875,0.0071889483369886875,0.2118716686964035,0.0071889483369886875,0.0071889483369886875,0.0071889483369886875,0.0071889483369886875,0.0071889483369886875,0.0071889483369886875,0.0071889483369886875,0.0071889483369886875,0.0071889483369886875,0.0071889483369886875,0.0071889483369886875,0.0071889483369886875,0.6443493366241455,0.0071889483369886875
"text/182_(cit= 0)_(area= environmental science;;medicine;;pharmacology, toxicology and pharmaceutics)_(period= 2005-2010).txt",0.006715907249599695,0.006715907249599695,0.006715907249599695,0.006715907249599695,0.006715907249599695,0.006715907249599695,0.006715907249599695,0.006715908646583557,0.006715907249599695,0.006715908180922271,0.006715907249599695,0.006715907249599695,0.006715907249599695,0.006715907249599695,0.006715907249599695,0.006715908180922271,0.006715907249599695,0.006715907249599695,0.8589659333229065,0.006715907249599695,0.006715907249599695,0.006715907249599695
text/550_(cit= 0)_(area= medicine)_(period= 2011-2017).txt,0.007496888749301434,0.007496888749301434,0.007496888749301434,0.007496888749301434,0.007496888749301434,0.007496888749301434,0.007496888749301434,0.007496888749301434,0.007496888749301434,0.007496888749301434,0.007496888749301434,0.5587092638015747,0.007496888749301434,0.007496888749301434,0.007496888749301434,0.12490959465503693,0.007496888749301434,0.007496888749301434,0.007496888749301434,0.007496888749301434,0.1739402413368225,0.007496888749301434
text/455_(cit= 0)_(area= psychology)_(period= 2011-2017).txt,0.008119922131299974,0.008119922131299974,0.008119922131299974,0.008119922131299974,0.008119922131299974,0.008119922131299974,0.008119922131299974,0.8294816017150879,0.008119922131299974,0.008119922131299974,0.008119922131299974,0.008119922131299974,0.008119922131299974,0.008119922131299974,0.008119922131299974,0.008119922131299974,0.008119922131299974,0.008119922131299974,0.008119922131299974,0.008119922131299974,0.008119922131299974,0.008119922131299974
text/437_(cit= 0)_(area= medicine)_(period= 2011-2017).txt,0.007941586896777153,0.007941586896777153,0.007941586896777153,0.007941586896777153,0.007941586896777153,0.007941586896777153,0.007941586896777153,0.8332266807556152,0.007941586896777153,0.007941586896777153,0.007941586896777153,0.007941586896777153,0.007941586896777153,0.007941586896777153,0.007941586896777153,0.007941586896777153,0.007941586896777153,0.007941586896777153,0.007941586896777153,0.007941586896777153,0.007941586896777153,0.007941586896777153
text/188_(cit= 0)_(area= medicine)_(period= 2005-2010).txt,0.008184634149074554,0.008184634149074554,0.008184634149074554,0.8281226754188538,0.008184634149074554,0.008184634149074554,0.008184634149074554,0.008184634149074554,0.008184634149074554,0.008184634149074554,0.008184634149074554,0.008184634149074554,0.008184634149074554,0.008184634149074554,0.008184634149074554,0.008184634149074554,0.008184634149074554,0.008184634149074554,0.008184634149074554,0.008184634149074554,0.008184634149074554,0.008184634149074554
